Movie Report
------------

Frame #    Frame Bytes    Total Bytes    Page
-------    -----------    -----------    ---------------
    1           863            863        Scene 1
    2            21            884          2
    3            15            899          3
    4          1357           2256          4
    5            21           2277          5
    6            15           2292          6
    7          1396           3688          7
    8            21           3709          8
    9            15           3724          9
   10          1550           5274          10
   11            21           5295          11
   12            15           5310          12
   13          1424           6734          13
   14            21           6755          14
   15            15           6770          15
   16          1401           8171          16
   17            21           8192          17
   18            15           8207          18
   19          1422           9629          19
   20            21           9650          20
   21            15           9665          21
   22          1361          11026          22
   23            21          11047          23
   24            15          11062          24
   25          1442          12504          25
   26            21          12525          26
   27            15          12540          27
   28          1488          14028          28
   29            21          14049          29
   30            15          14064          30
   31          1429          15493          31
   32             2          15495          32
   33             2          15497          33
   34             2          15499          34
   35          6139          21638          35
   36             2          21640          36
   37             2          21642          37
   38             2          21644          38
   39             2          21646          39
   40          3582          25228          40
   41            10          25238          41
   42        144415         169653          42
   43           111         169764          43
   44            10         169774          44
   45         48140         217914          45
   46            22         217936          46
   47            22         217958          47
   48            22         217980          48
   49            22         218002          49
   50            22         218024          50
   51            22         218046          51
   52            31         218077          52
   53            22         218099          53
   54            22         218121          54
   55            22         218143          55
   56            22         218165          56
   57            22         218187          57
   58            22         218209          58
   59            22         218231          59
   60            22         218253          60
   61            22         218275          61
   62            31         218306          62
   63            22         218328          63
   64            22         218350          64
   65            22         218372          65
   66            22         218394          66
   67            22         218416          67
   68            22         218438          68
   69            22         218460          69
   70            22         218482          70
   71            22         218504          71
   72            31         218535          72
   73            22         218557          73
   74            22         218579          74
   75            22         218601          75
   76            22         218623          76
   77            22         218645          77
   78            22         218667          78
   79            22         218689          79
   80            22         218711          80
   81            22         218733          81
   82            31         218764          82
   83            22         218786          83
   84            22         218808          84
   85            22         218830          85
   86            22         218852          86
   87            22         218874          87
   88            22         218896          88
   89            22         218918          89
   90            22         218940          90
   91            22         218962          91
   92            31         218993          92
   93            22         219015          93
   94            21         219036          94
   95            21         219057          95
   96            21         219078          96
   97            21         219099          97
   98            21         219120          98
   99            21         219141          99
  100            21         219162          100
  101            21         219183          101
  102            30         219213          102
  103            21         219234          103
  104            21         219255          104
  105            21         219276          105
  106            21         219297          106
  107            21         219318          107
  108            21         219339          108
  109            21         219360          109
  110            21         219381          110
  111            21         219402          111
  112            30         219432          112
  113            21         219453          113
  114            21         219474          114
  115            21         219495          115
  116            21         219516          116
  117            21         219537          117
  118            21         219558          118
  119            21         219579          119
  120            21         219600          120
  121            21         219621          121
  122            30         219651          122
  123            21         219672          123
  124            21         219693          124
  125            21         219714          125
  126            21         219735          126
  127            21         219756          127
  128            21         219777          128
  129            21         219798          129
  130            21         219819          130
  131            21         219840          131
  132            30         219870          132
  133            21         219891          133
  134            21         219912          134
  135            21         219933          135
  136            21         219954          136
  137            21         219975          137
  138            21         219996          138
  139            21         220017          139
  140            20         220037          140
  141            20         220057          141
  142            20         220077          142
  143            20         220097          143
  144            20         220117          144
  145            20         220137          145
  146         51927         272064          146

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Scene 1                        3472             0

Embedded Objects               2700             0

Symbol                     Shape Bytes    Text Bytes
-----------------------    -----------    ----------
estrella                         69             0
estrellas                         0             0
explo2                            0             0
explo1                            0             0
venus-explosion                   0             0
television                     3701             0
fondo                           431             0
venus                             0             0
cometa                            0             0
play                            162             0
Tween 10                          0             0
Tween 9                           0             0
Tween 8                           0             0
Tween 7                           0             0
Tween 6                           0             0
Tween 5                           0             0
Tween 4                           0             0
Tween 3                           0             0
Tween 2                           0             0
Tween 1                           0             0
dia final                         0             0
0%                              806             0
10%                            1338             0
20%                            1377             0
30%                            1531             0
40%                            1405             0
50%                            1382             0
60%                            1403             0
70%                            1342             0
80%                            1423             0
90%                            1469             0
100%                           1409             0
completado                     3397             0
aceptar                          42             0

Bitmap                     Compressed  Original    Compression
-----------------------    ----------  ----------  ------------
Bitmap 45                       2505       49152   Lossless
Bitmap 44                       2665       49152   Lossless
Bitmap 43                       2868       49152   Lossless
Bitmap 42                       2929       49152   Lossless
Bitmap 41                       3097       49152   Lossless
Bitmap 40                       3416       49152   Lossless
Bitmap 39                       3503       49152   Lossless
Bitmap 38                       3477       49152   Lossless
Bitmap 37                       3579       49152   Lossless
Bitmap 36                       3539       49152   Lossless
Bitmap 35                       3470       49152   Lossless
Bitmap 34                       3385       49152   Lossless
Bitmap 33                       3011       49152   Lossless
Bitmap 32                       2728       49152   Lossless
venus-explosion.gif             1193       49152   Lossless
Bitmap 20                       2317       49152   Lossless
Bitmap 19                       2551       49152   Lossless
Bitmap 18                       2674       49152   Lossless
Bitmap 17                       3065       49152   Lossless
Bitmap 16                       3287       49152   Lossless
Bitmap 15                       3304       49152   Lossless
Bitmap 14                       3085       49152   Lossless
Bitmap 13                       2732       49152   Lossless
Bitmap 12                       2686       49152   Lossless
cometa.gif                      2306       49152   Lossless
Bitmap 30                       1193       49152   Lossless
Bitmap 29                       1231       49152   Lossless
Bitmap 28                       1212       49152   Lossless
Bitmap 27                       1212       49152   Lossless
Bitmap 26                       1222       49152   Lossless
Bitmap 25                       1198       49152   Lossless
Bitmap 24                       1250       49152   Lossless
Bitmap 23                       1205       49152   Lossless
Bitmap 22                       1230       49152   Lossless
venus.gif                       1218       49152   Lossless
Bitmap 10                      10784       57600   Lossless
Bitmap 9                       13152       57600   Lossless
Bitmap 8                       15205       57600   Lossless
Bitmap 7                       14750       57600   Lossless
Bitmap 6                       14276       57600   Lossless
Bitmap 5                       12090       57600   Lossless
Bitmap 4                       10811       57600   Lossless
Bitmap 3                       10366       57600   Lossless
Bitmap 2                        7896       57600   Lossless
final.gif                       8339       57600   Lossless

Event sounds: 11KHz Stereo 16 kbps MP3

Sound Name                 Bytes       Format
-----------------------    --------    --------
explosion2.wav               2823        11KHz Mono 16 kbps MP3
explosion1.wav               2407        11KHz Mono 16 kbps MP3
cometa.wav                   5943        11KHz Mono 16 kbps MP3
play.wav                     2927        11KHz Mono 16 kbps MP3
Flama01.wav                  3655        11KHz Mono 16 kbps MP3
Flama02.wav                  3343        11KHz Mono 16 kbps MP3
Chord.wav                    2719        11KHz Mono 16 kbps MP3
