Movie Report
------------

Frame #    Frame Bytes    Total Bytes    Page
-------    -----------    -----------    ---------------
    1          6741           6741        Scene 1
    2            24           6765          2
    3            24           6789          3
    4            24           6813          4
    5            24           6837          5
    6            24           6861          6
    7            24           6885          7
    8            24           6909          8
    9            24           6933          9
   10            24           6957          10
   11            24           6981          11
   12            24           7005          12
   13            24           7029          13
   14            24           7053          14
   15            94           7147          15
   16            24           7171          16
   17            24           7195          17
   18            24           7219          18
   19            24           7243          19
   20            24           7267          20
   21            24           7291          21
   22            24           7315          22
   23            24           7339          23
   24            24           7363          24
   25            24           7387          25
   26            24           7411          26
   27            24           7435          27
   28            24           7459          28
   29            93           7552          29
   30            28           7580          30
   31            28           7608          31
   32            28           7636          32
   33            28           7664          33
   34            28           7692          34
   35            28           7720          35
   36            28           7748          36
   37            28           7776          37
   38            28           7804          38
   39            28           7832          39
   40           101           7933          40
   41            28           7961          41
   42            28           7989          42
   43            28           8017          43
   44            28           8045          44
   45            28           8073          45
   46            28           8101          46
   47            28           8129          47
   48            28           8157          48
   49            28           8185          49
   50           100           8285          50
   51            28           8313          51
   52            28           8341          52
   53            28           8369          53
   54            25           8394          54
   55            25           8419          55
   56            25           8444          56
   57            25           8469          57
   58            25           8494          58
   59            97           8591          59
   60            25           8616          60
   61            25           8641          61
   62            25           8666          62
   63            25           8691          63
   64            25           8716          64
   65            25           8741          65
   66            27           8768          66
   67            28           8796          67
   68           100           8896          68
   69            28           8924          69
   70            28           8952          70
   71            28           8980          71
   72            28           9008          72
   73            28           9036          73
   74            28           9064          74
   75           100           9164          75
   76            28           9192          76
   77            28           9220          77
   78            28           9248          78
   79            28           9276          79
   80            28           9304          80
   81           100           9404          81
   82            28           9432          82
   83            28           9460          83
   84            27           9487          84
   85            28           9515          85
   86           100           9615          86
   87            28           9643          87
   88            24           9667          88
   89            24           9691          89
   90            96           9787          90
   91            24           9811          91
   92            24           9835          92
   93            24           9859          93
   94            97           9956          94
   95            24           9980          95
   96            24          10004          96
   97            24          10028          97
   98            97          10125          98
   99            24          10149          99
  100            24          10173          100
  101            96          10269          101
  102            24          10293          102
  103            96          10389          103
  104            24          10413          104
  105            24          10437          105
  106            96          10533          106
  107            24          10557          107
  108            96          10653          108
  109            24          10677          109
  110            24          10701          110
  111            96          10797          111
  112            24          10821          112
  113            24          10845          113
  114            92          10937          114
  115            24          10961          115
  116            88          11049          116
  117            28          11077          117
  118            24          11101          118
  119            24          11125          119
  120            24          11149          120
  121            24          11173          121
  122            24          11197          122
  123            24          11221          123
  124            24          11245          124
  125            24          11269          125
  126            24          11293          126
  127            24          11317          127
  128            24          11341          128
  129            24          11365          129
  130            24          11389          130
  131            24          11413          131
  132            24          11437          132
  133            24          11461          133
  134            24          11485          134
  135            25          11510          135
  136            25          11535          136
  137            25          11560          137
  138            25          11585          138
  139            25          11610          139
  140            25          11635          140
  141            25          11660          141
  142            25          11685          142
  143            25          11710          143
  144            25          11735          144
  145            25          11760          145
  146            25          11785          146
  147            25          11810          147
  148            25          11835          148
  149            25          11860          149
  150            25          11885          150
  151            25          11910          151
  152            25          11935          152
  153            25          11960          153
  154            25          11985          154
  155            25          12010          155
  156            25          12035          156
  157            25          12060          157
  158            25          12085          158
  159            25          12110          159
  160            25          12135          160
  161            25          12160          161
  162            25          12185          162
  163            25          12210          163
  164            25          12235          164
  165            25          12260          165
  166            28          12288          166
  167            29          12317          167
  168            29          12346          168
  169            29          12375          169
  170            29          12404          170
  171            29          12433          171
  172            29          12462          172
  173            29          12491          173
  174            30          12521          174
  175            30          12551          175
  176            30          12581          176
  177            30          12611          177
  178            30          12641          178
  179            30          12671          179
  180            30          12701          180
  181            30          12731          181
  182            30          12761          182
  183            30          12791          183
  184            30          12821          184
  185            30          12851          185
  186            30          12881          186
  187            30          12911          187
  188            30          12941          188
  189            30          12971          189
  190            30          13001          190
  191            30          13031          191
  192            30          13061          192
  193            30          13091          193
  194            30          13121          194
  195            30          13151          195
  196            30          13181          196
  197            30          13211          197
  198            31          13242          198
  199            31          13273          199
  200            31          13304          200
  201            31          13335          201
  202            31          13366          202
  203            31          13397          203
  204            31          13428          204
  205            31          13459          205
  206            31          13490          206
  207            31          13521          207
  208            31          13552          208
  209            31          13583          209
  210            31          13614          210
  211            31          13645          211
  212            31          13676          212
  213            31          13707          213
  214            31          13738          214
  215            31          13769          215
  216            31          13800          216
  217            31          13831          217
  218            31          13862          218
  219            31          13893          219
  220            31          13924          220
  221            31          13955          221
  222            31          13986          222
  223            31          14017          223
  224            31          14048          224
  225            31          14079          225
  226            31          14110          226
  227            31          14141          227
  228            31          14172          228
  229            31          14203          229
  230            31          14234          230
  231            31          14265          231
  232            31          14296          232
  233            31          14327          233
  234            31          14358          234
  235            31          14389          235
  236            31          14420          236
  237            31          14451          237
  238            31          14482          238
  239            31          14513          239
  240            31          14544          240
  241            31          14575          241
  242            31          14606          242
  243            31          14637          243
  244            31          14668          244
  245            31          14699          245
  246            31          14730          246
  247            31          14761          247
  248            31          14792          248
  249            31          14823          249
  250            31          14854          250
  251            31          14885          251
  252            31          14916          252
  253            31          14947          253
  254            31          14978          254
  255            31          15009          255
  256            31          15040          256
  257            31          15071          257
  258            31          15102          258
  259            31          15133          259
  260            31          15164          260
  261            31          15195          261
  262            31          15226          262
  263            31          15257          263
  264            31          15288          264
  265            31          15319          265
  266            31          15350          266
  267            31          15381          267
  268            31          15412          268
  269            31          15443          269
  270            31          15474          270
  271            31          15505          271
  272            31          15536          272
  273            31          15567          273
  274            31          15598          274
  275            31          15629          275
  276            30          15659          276
  277            30          15689          277
  278            36          15725          278
  279            36          15761          279
  280            36          15797          280
  281            36          15833          281
  282            36          15869          282
  283            36          15905          283
  284            36          15941          284
  285            36          15977          285
  286            36          16013          286
  287            36          16049          287
  288            36          16085          288
  289            36          16121          289
  290            36          16157          290
  291            36          16193          291
  292            36          16229          292
  293            36          16265          293
  294            36          16301          294
  295            36          16337          295
  296            36          16373          296
  297            36          16409          297
  298            36          16445          298
  299            36          16481          299
  300            36          16517          300
  301            36          16553          301
  302            36          16589          302
  303            36          16625          303
  304            36          16661          304
  305            36          16697          305
  306            36          16733          306
  307            36          16769          307
  308            36          16805          308
  309            36          16841          309
  310            94          16935          310
  311            18          16953          311
  312            18          16971          312
  313            18          16989          313
  314            18          17007          314
  315            18          17025          315
  316            18          17043          316
  317            18          17061          317
  318            18          17079          318
  319            18          17097          319
  320            18          17115          320
  321            18          17133          321
  322            18          17151          322
  323            18          17169          323
  324            18          17187          324
  325            18          17205          325
  326            18          17223          326
  327            18          17241          327
  328            18          17259          328
  329            18          17277          329
  330            18          17295          330
  331            18          17313          331
  332            18          17331          332
  333            18          17349          333
  334            18          17367          334
  335            18          17385          335
  336            18          17403          336
  337            18          17421          337
  338            18          17439          338
  339            18          17457          339
  340            18          17475          340
  341            18          17493          341
  342            18          17511          342
  343            18          17529          343
  344            18          17547          344
  345            18          17565          345
  346            18          17583          346
  347            18          17601          347
  348            18          17619          348
  349            18          17637          349
  350            18          17655          350
  351            18          17673          351
  352            18          17691          352
  353            18          17709          353
  354            18          17727          354
  355            18          17745          355

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Scene 1                         254            65

Symbol                     Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Symbol 3                        241             0
Symbol 2                         33             0
Symbol 1                         33             0

Tweened Shapes: 4004 bytes

Font Name                  Bytes       Characters
-----------------------    --------    -----------
Digital SF                    941        Defgimnrsvy
